produce_type,color,size,ripeness,moisture_loss,blemish_ratio,density_score,grade
banana,64.01,60.09,65.93,28.13,0.366,59.07,C
orange,70.81,76.57,75.23,21.6,0.239,76.33,B
banana,79.93,74.68,74.03,13.67,0.194,72.35,B
banana,64.0,72.97,69.44,36.52,0.415,66.56,C
cucumber,70.61,91.71,78.33,22.23,0.321,82.04,B
apple,98.46,81.98,62.31,36.32,0.077,70.02,B
cucumber,68.62,72.81,86.55,8.2,0.355,81.44,B
tomato,64.9,81.14,67.22,34.87,0.445,72.33,C
cucumber,78.37,82.29,73.36,21.5,0.233,76.38,A
banana,64.43,94.17,77.58,21.05,0.423,76.7,C
orange,64.8,84.54,66.59,27.87,0.418,84.85,C
carrot,74.68,86.03,76.91,33.47,0.148,83.35,B
tomato,42.66,77.67,100.0,0.0,0.613,94.83,C
carrot,77.81,83.45,48.54,47.16,0.267,66.3,C
carrot,80.0,100.0,69.11,40.52,0.207,93.03,B
apple,59.63,84.22,69.7,31.14,0.465,78.85,C
orange,67.95,72.13,76.26,23.51,0.311,69.4,B
orange,95.98,77.65,98.82,1.26,0.073,91.02,B
carrot,83.51,100.0,80.03,25.38,0.2,91.55,A
carrot,80.8,88.57,88.21,3.67,0.204,87.47,A
banana,97.44,73.2,53.68,51.09,0.0,53.8,C
cucumber,91.62,83.9,83.56,13.78,0.015,77.81,A
cucumber,58.91,85.68,68.6,32.51,0.419,79.08,C
apple,85.49,77.87,78.94,22.47,0.024,81.64,B
banana,86.46,66.56,70.95,22.5,0.173,61.73,C
cucumber,64.07,88.41,65.93,28.5,0.405,81.91,C
carrot,90.73,79.22,72.73,23.38,0.101,73.33,B
carrot,71.5,89.2,94.95,7.44,0.375,88.55,B
orange,88.72,72.74,71.62,17.76,0.068,64.67,B
banana,71.49,77.27,77.44,30.0,0.319,69.24,B
banana,79.68,80.83,75.64,25.59,0.169,77.32,A
tomato,95.76,73.55,59.52,40.11,0.0,57.92,C
apple,99.73,81.54,78.86,8.36,0.025,80.66,A
carrot,68.03,84.16,78.72,14.92,0.336,87.43,B
banana,64.99,79.87,89.67,2.97,0.379,81.38,C
orange,81.63,75.23,66.93,42.21,0.113,73.5,B
orange,88.28,66.03,55.49,40.0,0.125,61.89,C
carrot,58.92,71.53,63.02,35.9,0.51,62.61,C
tomato,61.0,89.63,75.34,19.28,0.372,78.52,C
cucumber,82.44,100.0,84.81,14.63,0.142,85.69,A
cucumber,88.19,76.41,95.41,4.71,0.157,87.39,B
carrot,75.34,70.54,73.67,31.38,0.221,74.31,B
apple,89.7,85.76,56.77,41.89,0.15,64.97,C
cucumber,61.94,81.17,100.0,0.0,0.405,91.88,C
carrot,80.42,76.63,70.28,19.76,0.195,77.95,B
cucumber,78.86,95.09,85.29,14.36,0.18,87.75,A
apple,73.99,83.75,100.0,3.17,0.217,84.68,B
cucumber,74.9,91.74,72.47,30.78,0.242,85.69,B
tomato,100.0,68.65,88.7,9.67,0.0,77.47,C
cucumber,81.83,87.49,92.93,15.51,0.198,98.78,A
apple,94.16,87.14,67.21,33.87,0.084,77.02,B
cucumber,84.19,92.38,75.63,6.71,0.242,82.52,A
orange,61.14,77.96,67.0,28.58,0.355,75.13,C
banana,100.0,91.85,93.96,3.77,0.005,95.04,A
apple,71.61,92.25,93.44,6.96,0.224,91.37,B
cucumber,56.38,82.9,80.09,18.29,0.448,83.58,C
orange,59.98,78.96,82.56,26.91,0.387,83.51,C
tomato,91.17,79.64,94.37,12.84,0.157,89.3,B
orange,68.77,100.0,88.29,19.75,0.296,98.37,B
apple,99.4,68.95,73.39,13.77,0.0,67.09,C
carrot,100.0,100.0,52.97,50.37,0.04,74.79,C
banana,80.67,85.31,54.45,39.36,0.202,70.38,C
banana,66.08,80.92,90.18,9.36,0.42,82.07,B
tomato,80.9,77.75,85.41,9.9,0.287,73.12,B
apple,79.35,88.63,97.35,7.79,0.17,95.99,A
tomato,100.0,71.35,100.0,2.31,0.0,81.21,B
carrot,48.67,77.02,71.79,21.76,0.551,73.31,C
tomato,68.46,78.1,81.68,18.76,0.28,80.52,B
apple,60.91,78.54,85.27,18.16,0.379,85.29,C
orange,63.3,70.61,71.98,37.01,0.375,69.92,C
tomato,73.7,100.0,67.82,26.11,0.255,82.66,B
cucumber,65.88,100.0,81.1,21.69,0.318,87.66,B
banana,52.86,68.29,72.04,36.06,0.453,72.25,C
banana,78.42,97.56,50.64,53.77,0.206,78.72,C
carrot,78.37,80.77,59.96,32.36,0.187,71.02,C
banana,66.65,78.04,45.83,51.95,0.385,65.46,C
tomato,78.87,84.92,62.75,47.0,0.315,74.66,B
apple,100.0,73.84,55.98,39.76,0.0,76.47,C
orange,65.11,71.22,94.24,11.74,0.325,73.35,B
orange,61.07,100.0,87.02,13.37,0.483,100.0,C
apple,77.74,75.02,71.45,19.64,0.148,64.62,B
tomato,94.27,63.26,100.0,0.0,0.144,79.81,C
cucumber,97.26,98.82,61.5,36.51,0.0,79.56,B
apple,79.62,77.78,46.9,49.62,0.239,61.3,C
cucumber,64.04,74.68,98.54,0.0,0.396,86.85,C
carrot,81.67,73.21,70.37,29.59,0.157,73.45,B
cucumber,100.0,85.34,45.4,61.57,0.0,75.43,C
banana,100.0,75.94,87.55,8.89,0.0,85.12,B
carrot,91.43,82.9,100.0,0.0,0.005,84.38,A
cucumber,100.0,81.08,78.54,18.2,0.0,75.88,A
carrot,76.54,87.22,81.43,16.01,0.162,76.6,A
tomato,100.0,99.74,97.44,0.0,0.0,94.51,A
apple,69.17,97.91,89.45,4.73,0.293,97.43,B
carrot,69.44,82.96,82.43,19.92,0.318,79.42,B
orange,61.0,63.26,74.16,30.73,0.321,70.08,C
tomato,89.77,59.96,71.67,38.21,0.13,56.46,C
banana,66.78,90.3,64.96,34.72,0.305,77.64,B
banana,69.49,79.32,57.19,45.75,0.314,60.17,C
carrot,75.36,83.94,88.23,13.74,0.305,84.62,A
apple,93.52,83.48,84.12,18.3,0.127,87.41,A
apple,68.38,81.4,63.84,29.85,0.21,64.87,B
apple,100.0,74.12,100.0,2.42,0.0,79.56,B
cucumber,100.0,100.0,80.39,12.72,0.0,85.93,A
carrot,97.17,100.0,79.13,19.05,0.106,84.67,A
carrot,84.94,71.65,65.83,29.89,0.221,78.31,B
carrot,79.72,78.78,66.4,33.61,0.175,72.11,B
tomato,71.92,79.72,73.03,25.06,0.259,80.19,B
cucumber,51.44,100.0,78.17,25.49,0.522,85.54,C
cucumber,62.52,79.04,87.19,9.31,0.405,71.27,C
carrot,72.22,96.01,73.26,21.76,0.245,69.49,B
tomato,93.86,75.01,68.57,17.44,0.0,77.74,B
apple,87.26,66.43,65.91,33.91,0.068,56.15,C
apple,86.59,89.1,90.0,0.67,0.137,88.21,A
tomato,76.69,79.46,65.43,16.46,0.291,74.1,B
tomato,85.1,76.63,69.3,26.09,0.176,68.97,B
orange,61.55,95.58,73.14,25.98,0.419,81.02,C
carrot,82.59,63.5,79.54,15.93,0.217,74.25,C
banana,84.22,62.72,74.35,18.59,0.156,56.95,C
banana,95.84,86.43,70.34,24.21,0.0,79.38,A
carrot,72.85,100.0,73.04,27.31,0.202,84.72,B
cucumber,72.41,76.17,81.23,27.86,0.283,84.42,B
tomato,87.32,95.01,66.24,32.51,0.117,83.36,B
carrot,79.88,92.52,66.99,38.33,0.252,83.14,B
banana,80.01,90.56,61.7,39.49,0.215,69.48,B
cucumber,59.27,76.86,76.64,18.98,0.411,77.08,C
banana,65.7,88.82,63.77,49.95,0.338,70.44,B
apple,95.21,77.09,54.18,50.94,0.027,68.9,C
carrot,92.03,85.29,100.0,0.0,0.039,91.37,A
carrot,100.0,97.46,63.29,32.64,0.0,76.46,B
orange,100.0,79.07,74.22,30.43,0.0,76.91,B
banana,73.58,74.96,65.79,35.56,0.275,69.28,B
banana,83.56,71.58,86.91,11.86,0.14,75.27,B
carrot,100.0,81.24,57.69,47.82,0.0,70.88,C
banana,68.92,97.37,66.55,41.84,0.258,80.49,B
orange,80.52,100.0,71.69,29.85,0.29,78.28,A
tomato,53.43,72.45,89.01,1.33,0.496,83.37,C
apple,93.68,86.37,97.75,5.49,0.04,86.33,A
carrot,69.46,81.52,78.8,8.39,0.294,80.3,B
carrot,100.0,84.23,61.45,27.64,0.034,68.49,B
cucumber,91.0,98.77,51.29,52.03,0.155,80.13,C
carrot,65.2,66.64,84.38,18.1,0.213,74.0,C
banana,90.01,83.78,78.34,19.47,0.047,80.97,A
orange,87.23,90.36,77.37,29.2,0.109,76.65,A
apple,85.16,83.52,83.95,8.46,0.238,87.29,A
tomato,92.71,78.54,61.03,45.43,0.018,81.1,B
banana,68.8,100.0,73.05,36.44,0.275,86.62,B
tomato,87.93,95.21,68.2,32.31,0.183,78.18,B
orange,86.59,79.37,79.29,21.21,0.095,78.03,B
apple,76.46,100.0,92.16,9.58,0.197,91.96,A
orange,100.0,69.88,77.82,24.34,0.0,68.84,C
carrot,69.8,73.49,97.24,2.7,0.276,85.9,B
banana,88.02,77.86,90.43,1.94,0.178,84.1,B
cucumber,67.6,67.27,49.33,46.09,0.353,53.49,C
cucumber,54.77,71.09,69.84,28.08,0.446,75.63,C
carrot,100.0,62.5,62.31,41.89,0.0,66.71,C
orange,81.11,100.0,92.68,13.68,0.168,95.85,A
orange,55.41,99.66,87.93,10.0,0.511,90.64,C
apple,50.43,94.09,55.54,43.28,0.506,76.74,C
apple,86.71,88.6,63.35,38.42,0.058,83.78,B
orange,56.96,77.84,54.9,40.72,0.431,63.73,C
carrot,81.4,76.45,73.86,33.46,0.231,69.46,B
orange,67.79,87.7,81.65,12.04,0.36,80.22,B
orange,85.94,68.42,67.53,29.19,0.149,66.96,C
cucumber,60.82,65.27,84.78,16.93,0.397,76.38,C
cucumber,80.76,100.0,94.79,3.48,0.166,83.09,A
cucumber,94.03,91.44,67.3,24.11,0.002,81.59,B
apple,88.37,83.04,91.47,10.75,0.158,76.8,A
banana,59.48,77.63,93.27,18.01,0.397,82.39,C
cucumber,90.95,75.4,100.0,0.0,0.196,91.44,B
orange,62.58,84.79,88.34,10.31,0.416,90.64,C
apple,77.75,67.9,74.77,26.28,0.129,72.18,C
orange,76.55,66.44,70.67,27.46,0.331,69.66,C
cucumber,76.23,59.51,86.76,9.29,0.221,67.87,C
tomato,79.09,94.78,90.92,18.59,0.295,82.62,A
apple,50.88,89.58,64.91,32.15,0.48,79.16,C
cucumber,55.72,66.89,76.02,31.17,0.442,67.5,C
banana,92.29,73.17,57.64,32.07,0.005,60.6,C
orange,74.42,67.5,78.97,19.55,0.367,64.71,C
banana,80.61,69.63,77.52,27.09,0.199,80.5,C
cucumber,45.33,71.89,99.6,5.87,0.574,91.91,C
banana,89.93,94.77,65.46,50.31,0.11,69.15,B
orange,83.72,73.36,94.64,8.65,0.133,91.51,B
cucumber,65.58,80.18,84.27,13.54,0.327,82.41,B
orange,62.01,55.21,79.83,8.24,0.33,58.66,C
tomato,84.4,79.33,71.87,20.24,0.123,77.48,B
apple,77.22,91.87,91.44,7.05,0.135,87.87,A
cucumber,66.35,69.34,77.12,37.47,0.312,73.22,C
cucumber,58.32,96.92,90.0,14.84,0.485,91.32,C
orange,100.0,89.59,40.49,62.24,0.0,69.53,C
tomato,84.12,61.11,80.3,20.96,0.177,73.59,C
cucumber,84.21,82.27,94.37,19.09,0.204,89.35,A
banana,84.49,85.07,76.3,36.69,0.118,86.46,A
apple,55.79,79.74,67.25,36.21,0.447,68.39,C
cucumber,100.0,95.08,100.0,1.42,0.0,100.0,A
orange,79.95,79.89,52.62,48.14,0.178,65.04,C
carrot,83.46,97.27,62.42,35.56,0.127,75.69,B
cucumber,75.05,89.03,81.13,12.53,0.314,89.8,A
tomato,64.48,96.69,81.23,17.83,0.373,88.83,C
orange,80.81,77.95,43.59,59.58,0.173,64.66,C
orange,85.23,77.83,92.37,8.86,0.156,84.41,B
banana,67.3,78.13,56.2,48.16,0.298,64.82,C
cucumber,70.25,82.75,55.99,30.55,0.32,58.8,C
carrot,100.0,80.03,96.79,3.06,0.08,86.13,A
orange,42.53,81.04,100.0,3.21,0.549,92.17,C
banana,76.72,100.0,67.72,38.29,0.271,80.36,B
tomato,71.63,94.22,78.32,23.71,0.202,89.55,B
orange,77.04,86.33,69.45,27.0,0.217,75.57,B
apple,100.0,92.94,60.5,51.71,0.0,76.87,B
cucumber,48.45,79.16,66.83,34.4,0.534,72.6,C
carrot,76.15,94.78,80.82,19.42,0.246,96.98,A
tomato,70.28,59.09,53.06,44.14,0.292,53.3,C
tomato,83.27,75.18,61.37,42.31,0.236,62.74,B
apple,49.42,64.31,66.58,40.23,0.467,61.36,C
orange,78.54,82.45,63.44,48.48,0.201,73.51,B
tomato,84.6,96.82,100.0,0.0,0.209,100.0,A
orange,92.62,80.9,73.01,32.61,0.122,84.78,A
orange,76.4,52.48,50.22,47.41,0.181,55.42,C
orange,58.35,75.98,68.61,38.62,0.386,74.56,C
orange,91.55,92.2,75.46,14.36,0.073,83.73,A
cucumber,82.29,73.15,94.25,5.83,0.131,81.41,B
orange,87.97,94.58,59.33,36.53,0.086,77.88,C
carrot,75.39,76.13,70.17,25.06,0.237,78.72,B
orange,83.2,98.56,73.07,23.76,0.214,80.89,A
apple,77.66,69.52,46.08,53.01,0.16,57.74,C
cucumber,100.0,83.12,92.31,10.09,0.0,78.09,A
orange,100.0,69.41,98.12,5.1,0.0,85.33,C
carrot,100.0,75.85,64.61,35.99,0.0,76.23,B
tomato,89.09,61.69,83.34,15.59,0.111,73.76,C
tomato,92.67,73.0,75.06,22.25,0.0,73.49,B
orange,100.0,61.46,75.62,24.05,0.014,63.72,C
tomato,57.32,97.97,60.28,36.73,0.532,75.45,C
apple,83.14,94.77,92.25,0.0,0.133,95.02,A
orange,66.58,76.08,82.71,21.0,0.368,75.16,B
orange,70.02,84.59,96.2,2.37,0.299,85.26,B
apple,80.31,94.93,76.48,24.03,0.122,74.95,A
carrot,96.78,82.94,79.3,13.2,0.0,86.43,A
tomato,68.68,90.06,79.04,20.24,0.406,82.28,B
apple,96.61,86.58,75.73,32.5,0.048,80.67,A
apple,96.74,96.42,30.0,72.64,0.043,63.04,C
tomato,87.15,85.13,86.84,11.55,0.203,89.88,A
orange,85.41,95.89,92.35,6.98,0.195,94.99,A
apple,100.0,95.17,65.99,47.99,0.0,83.77,B
apple,100.0,85.03,63.3,35.1,0.0,72.64,B
tomato,73.07,72.99,80.32,22.03,0.219,68.36,B
orange,85.98,90.76,84.82,24.62,0.19,100.0,A
apple,100.0,60.9,40.85,59.11,0.025,50.49,C
banana,73.95,73.67,67.31,31.49,0.303,68.06,B
orange,73.67,88.84,72.82,33.88,0.217,75.15,B
tomato,84.06,71.62,97.5,14.05,0.128,92.0,B
banana,42.27,94.91,62.28,43.58,0.529,78.25,C
cucumber,74.79,100.0,74.27,38.39,0.233,94.6,B
carrot,53.61,78.56,67.42,41.8,0.473,62.55,C
orange,62.81,93.21,88.88,9.32,0.344,94.63,C
cucumber,61.06,87.49,81.96,16.39,0.409,85.24,C
banana,57.99,89.37,92.43,9.5,0.45,90.35,C
cucumber,91.37,82.78,57.63,47.29,0.005,71.62,C
cucumber,71.28,84.06,64.65,38.42,0.29,71.27,B
apple,98.07,84.46,86.09,22.41,0.089,88.17,A
tomato,56.55,84.48,93.51,8.61,0.262,93.35,C
cucumber,91.97,78.39,91.81,11.95,0.046,91.46,B
cucumber,77.14,80.12,62.79,39.03,0.294,77.69,B
apple,88.85,61.65,54.62,46.37,0.11,55.65,C
carrot,99.86,100.0,77.69,25.56,0.051,89.12,A
carrot,100.0,70.72,66.3,28.04,0.078,72.52,B
apple,65.04,98.62,81.79,26.68,0.347,92.76,B
orange,82.5,74.51,73.69,19.2,0.2,77.91,B
carrot,88.0,80.46,100.0,5.35,0.189,97.49,A
tomato,76.12,86.65,88.39,4.71,0.182,81.03,A
orange,73.0,64.77,78.39,21.04,0.329,81.65,C
cucumber,84.85,73.64,86.35,13.71,0.14,75.69,B
tomato,75.33,91.65,84.18,26.78,0.28,90.03,A
orange,73.41,69.55,66.88,28.92,0.138,63.17,C
cucumber,83.53,77.48,82.38,5.9,0.179,86.32,B
apple,76.18,60.74,69.38,38.3,0.251,57.96,C
cucumber,59.19,79.08,59.4,34.38,0.385,72.42,C
tomato,97.36,77.37,59.84,43.03,0.052,69.8,C
tomato,76.31,83.18,73.09,33.33,0.348,79.03,A
cucumber,77.9,85.07,65.47,39.12,0.243,73.17,B
orange,78.28,70.36,81.63,19.8,0.265,80.15,B
orange,76.36,76.33,76.03,26.15,0.261,77.69,B
cucumber,92.95,73.91,100.0,4.58,0.014,87.88,B
cucumber,89.59,77.81,52.08,41.69,0.131,56.17,C
apple,86.05,79.33,64.87,32.16,0.066,74.52,B
cucumber,65.9,75.57,81.55,16.91,0.306,68.61,B
cucumber,79.18,75.79,59.4,40.67,0.232,68.09,C
banana,100.0,90.46,74.28,30.15,0.002,82.6,A
carrot,64.53,82.28,95.04,6.82,0.336,80.13,C
carrot,43.94,100.0,80.94,15.56,0.578,85.73,C
tomato,63.89,65.04,42.32,48.09,0.412,48.75,C
carrot,86.02,93.48,76.27,21.94,0.146,82.79,A
carrot,100.0,99.4,41.57,55.8,0.0,72.8,C
carrot,52.09,61.08,96.91,0.0,0.405,73.48,C
carrot,65.66,84.9,60.34,29.19,0.415,74.61,B
tomato,72.99,75.74,99.44,4.11,0.327,84.67,B
banana,84.03,75.4,74.47,22.03,0.18,68.33,B
cucumber,86.58,85.73,72.75,29.95,0.116,75.89,A
tomato,86.81,75.91,66.51,32.39,0.104,78.84,B
carrot,82.75,82.18,61.08,43.36,0.142,68.36,B
apple,83.81,51.96,73.48,27.28,0.145,63.52,C
apple,50.85,48.03,60.39,41.3,0.33,49.99,C
tomato,74.36,100.0,72.53,26.83,0.298,86.37,B
apple,74.78,93.12,83.55,18.18,0.245,86.6,B
cucumber,72.95,96.78,59.25,49.36,0.294,73.17,C
cucumber,85.63,74.2,76.53,20.55,0.137,80.07,B
apple,61.12,69.18,80.33,21.73,0.355,82.71,C
orange,90.2,74.49,64.44,34.19,0.081,75.75,B
cucumber,78.53,90.13,89.17,11.18,0.235,92.62,A
carrot,85.31,72.65,65.16,33.11,0.112,61.54,B
carrot,83.2,65.93,72.15,26.75,0.177,63.63,C
apple,57.69,88.24,51.46,47.15,0.407,69.23,C
banana,100.0,62.81,90.03,0.0,0.07,66.2,C
banana,100.0,77.32,96.65,9.86,0.0,85.19,B
banana,89.81,76.92,62.9,40.33,0.057,68.26,B
banana,79.61,74.29,68.14,41.07,0.194,69.41,B
apple,84.82,69.59,82.84,18.7,0.062,85.19,C
banana,99.91,72.39,58.04,43.33,0.0,72.04,C
cucumber,100.0,72.11,74.2,33.4,0.0,74.52,B
banana,94.39,75.33,55.81,35.44,0.085,67.51,C
cucumber,73.89,64.83,38.36,78.85,0.287,52.28,C
carrot,82.18,64.82,63.28,47.18,0.211,60.24,C
carrot,70.26,78.21,100.0,0.0,0.238,88.81,B
apple,81.97,66.63,82.43,24.82,0.187,70.55,C
banana,53.12,80.39,80.97,13.65,0.566,84.64,C
carrot,51.11,60.73,60.26,49.18,0.533,68.61,C
banana,74.86,67.03,81.59,17.23,0.24,82.4,C
tomato,76.1,97.97,50.59,65.54,0.22,77.82,C
cucumber,70.54,91.83,89.94,5.79,0.26,91.11,B
orange,76.27,98.72,87.24,12.33,0.268,82.75,A
cucumber,82.32,95.38,79.2,29.55,0.22,84.85,A
carrot,75.9,86.9,68.82,40.37,0.186,79.44,B
orange,73.3,75.53,74.78,30.09,0.242,69.81,B
carrot,95.26,86.79,92.13,12.43,0.156,95.03,A
banana,85.05,75.31,68.73,22.79,0.135,74.75,B
orange,77.01,68.81,51.63,61.04,0.246,56.1,C
cucumber,100.0,89.45,31.41,84.51,0.0,59.4,C
cucumber,61.0,73.12,80.55,7.02,0.385,82.57,C
carrot,57.15,80.33,70.59,25.84,0.369,78.05,C
cucumber,86.93,69.21,61.16,39.66,0.082,66.08,C
tomato,77.1,67.44,82.27,16.66,0.221,77.23,C
carrot,88.37,82.43,75.03,37.35,0.176,82.9,A
apple,84.92,69.93,94.04,6.83,0.122,80.77,C
orange,63.51,94.69,86.93,14.16,0.363,87.4,C
cucumber,56.81,73.09,61.71,40.02,0.473,66.76,C
cucumber,99.13,72.61,73.83,25.86,0.063,73.75,B
cucumber,53.18,71.2,93.54,0.0,0.535,84.87,C
carrot,66.79,72.02,100.0,8.47,0.326,86.68,B
cucumber,80.02,73.91,74.74,36.12,0.195,69.09,B
tomato,57.5,83.53,63.83,37.65,0.344,77.13,C
cucumber,78.69,77.94,100.0,1.03,0.31,91.77,B
tomato,99.38,79.49,81.53,25.78,0.051,83.17,B
orange,75.62,95.65,97.53,0.0,0.207,92.07,A
orange,90.45,70.85,89.08,14.19,0.068,87.78,B
tomato,100.0,85.83,42.82,66.73,0.049,62.18,C
cucumber,63.53,63.17,100.0,0.0,0.302,82.93,C
banana,63.28,93.94,83.43,14.25,0.368,86.47,C
orange,77.07,72.86,66.72,29.62,0.193,75.01,B
cucumber,64.01,67.67,73.48,39.45,0.308,69.77,C
apple,79.33,80.7,68.67,38.26,0.229,78.91,B
cucumber,91.41,100.0,97.3,16.65,0.147,95.3,A
cucumber,90.71,90.53,100.0,0.0,0.121,91.86,A
carrot,74.78,87.75,53.43,51.32,0.263,71.36,C
tomato,100.0,77.41,81.48,19.13,0.01,90.55,B
tomato,69.49,100.0,71.08,19.29,0.268,79.31,B
tomato,51.0,77.64,74.88,32.21,0.521,79.18,C
tomato,91.27,98.69,82.31,20.22,0.024,95.78,A
apple,100.0,85.88,66.49,32.54,0.0,74.38,B
banana,82.19,94.05,81.93,12.88,0.153,85.18,A
apple,75.2,100.0,100.0,5.02,0.254,93.19,A
tomato,66.15,100.0,50.3,52.0,0.295,75.1,C
apple,87.99,94.26,75.03,29.54,0.087,85.87,A
carrot,82.98,75.65,71.54,34.56,0.116,68.87,B
tomato,87.02,76.73,52.75,55.35,0.075,63.74,C
cucumber,73.53,71.38,87.43,13.24,0.314,76.36,B
cucumber,100.0,59.14,50.64,59.88,0.024,56.6,C
banana,86.57,85.6,60.55,44.36,0.167,80.21,B
banana,100.0,85.97,56.36,54.28,0.0,72.85,C
orange,71.54,91.17,79.91,23.17,0.244,84.67,B
orange,66.46,79.61,74.1,36.97,0.322,66.23,B
orange,84.74,80.43,69.0,25.31,0.25,74.98,B
orange,51.93,85.93,95.3,5.64,0.436,85.66,C
banana,100.0,81.14,49.14,53.16,0.007,62.9,C
tomato,62.69,69.23,93.39,8.1,0.397,82.53,C
apple,70.97,79.53,94.64,13.85,0.229,86.04,B
orange,90.59,100.0,100.0,0.0,0.158,100.0,A
apple,89.82,66.83,84.8,21.23,0.101,74.58,C
orange,54.43,90.2,79.34,15.13,0.439,85.54,C
banana,78.04,61.0,97.59,2.5,0.165,67.0,C
tomato,93.44,88.7,79.37,25.81,0.109,85.01,A
carrot,71.74,87.05,98.35,1.03,0.356,94.57,B
banana,83.71,100.0,100.0,10.07,0.123,100.0,A
cucumber,74.59,56.09,81.22,12.28,0.275,62.85,C
cucumber,100.0,88.62,100.0,0.0,0.077,85.3,A
orange,68.53,76.62,67.74,26.78,0.252,69.97,B
tomato,79.74,95.96,80.73,26.27,0.129,86.18,A
orange,83.15,71.67,90.95,5.87,0.13,83.74,B
cucumber,78.09,75.73,67.09,26.49,0.199,76.91,B
orange,92.38,88.19,66.2,23.9,0.03,73.84,B
cucumber,66.77,93.77,91.53,21.74,0.294,100.0,B
cucumber,74.52,87.68,95.85,3.79,0.248,88.63,B
banana,42.6,82.85,64.64,28.91,0.595,66.49,C
carrot,85.25,77.2,74.99,17.87,0.185,77.03,B
carrot,81.93,88.02,65.72,25.16,0.229,80.32,B
carrot,84.14,97.1,94.22,2.39,0.084,89.07,A
carrot,73.32,99.55,64.34,32.08,0.236,79.29,B
carrot,58.8,95.01,73.68,41.19,0.353,92.3,C
tomato,98.87,77.06,69.68,24.79,0.0,73.37,B
carrot,53.96,100.0,71.85,28.55,0.429,84.59,C
orange,72.63,81.96,75.77,29.06,0.285,82.39,B
cucumber,81.47,79.1,92.05,9.89,0.177,84.64,B
banana,76.36,82.37,75.1,21.55,0.275,82.87,A
cucumber,68.95,90.0,45.45,59.52,0.238,62.8,C
banana,82.98,74.54,63.87,33.22,0.207,64.54,B
carrot,72.32,91.84,89.57,0.0,0.329,87.65,B
tomato,81.54,70.73,81.94,33.37,0.191,74.04,B
apple,55.96,99.39,81.01,12.7,0.39,90.27,C
carrot,91.98,68.19,93.81,5.64,0.034,78.66,C
orange,57.18,73.22,91.24,10.06,0.389,87.05,C
orange,93.18,85.98,66.2,31.05,0.082,69.53,B
apple,100.0,79.17,81.7,25.42,0.098,88.22,B
cucumber,51.97,78.21,84.01,13.02,0.569,89.26,C
carrot,75.56,73.01,72.88,25.77,0.292,68.5,B
banana,38.75,62.75,59.55,36.52,0.622,55.75,C
apple,64.06,68.61,67.13,29.29,0.394,62.92,C
tomato,72.64,75.46,88.94,10.13,0.326,76.44,B
apple,69.36,67.29,74.92,35.48,0.264,70.47,C
cucumber,58.32,64.49,63.4,33.9,0.397,62.82,C
orange,68.61,88.02,54.27,43.6,0.329,67.23,C
orange,83.12,63.75,90.22,11.98,0.172,82.6,C
carrot,68.73,98.47,100.0,0.0,0.307,100.0,B
tomato,76.83,89.14,88.49,8.14,0.253,88.78,A
apple,63.16,74.17,90.86,14.91,0.406,84.71,C
apple,84.19,85.33,82.52,20.33,0.088,79.97,A
banana,94.61,100.0,41.3,68.09,0.058,75.71,C
orange,85.6,99.28,79.36,12.46,0.139,91.9,A
banana,87.87,81.21,66.47,27.01,0.102,74.86,B
apple,48.61,72.64,44.05,52.24,0.574,52.42,C
carrot,100.0,99.44,78.14,27.01,0.0,80.92,A
carrot,78.43,86.78,93.51,3.08,0.225,90.94,A
tomato,76.91,71.74,80.48,20.69,0.209,79.44,B
tomato,93.42,90.13,59.32,41.28,0.02,75.21,C
orange,97.16,91.4,94.45,11.86,0.015,90.8,A
cucumber,100.0,80.02,54.33,51.72,0.007,74.7,C
cucumber,77.7,100.0,51.38,45.1,0.179,64.72,C
banana,91.1,75.31,90.49,11.85,0.119,80.62,B
apple,79.35,93.03,75.19,20.59,0.147,85.13,A
tomato,69.69,81.14,72.18,25.15,0.318,79.43,B
apple,89.37,100.0,62.9,27.49,0.106,85.74,B
carrot,88.52,96.54,35.42,72.1,0.132,58.26,C
apple,80.54,86.57,91.99,10.6,0.121,88.57,A
orange,53.74,89.79,98.37,0.0,0.429,89.67,C
banana,84.19,76.68,86.44,19.95,0.213,75.97,B
tomato,98.79,99.59,100.0,0.0,0.0,94.88,A
banana,78.18,92.17,96.9,0.18,0.216,94.02,A
apple,68.47,90.83,81.81,19.05,0.333,89.39,B
orange,65.42,92.76,80.09,17.31,0.357,88.14,B
orange,94.23,69.45,97.2,2.94,0.032,80.64,C
carrot,51.89,90.13,100.0,0.0,0.434,98.82,C
banana,77.32,92.01,74.37,22.14,0.216,71.28,A
banana,92.22,96.3,98.5,4.15,0.0,94.23,A
carrot,97.87,100.0,97.8,0.78,0.0,98.7,A
banana,100.0,84.73,76.27,24.17,0.02,83.63,A
banana,67.13,69.31,97.93,0.0,0.411,74.07,C
apple,92.58,82.0,54.94,47.62,0.078,67.39,C
carrot,68.64,81.58,66.69,47.92,0.302,72.27,B
apple,100.0,62.33,81.75,16.81,0.0,67.95,C
banana,82.75,71.63,80.15,30.22,0.181,68.62,B
cucumber,73.72,77.77,78.43,23.44,0.349,78.08,B
banana,60.72,95.85,96.21,5.19,0.381,99.14,C
banana,47.16,88.76,90.28,18.37,0.492,90.65,C
apple,81.72,83.02,77.84,22.39,0.193,84.13,A
